filename,frequencies,magnitudes
xa.s12.00.mhz.1970-01-19HR00_evid00002,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[6.08224582e-12 9.15106625e+02 9.56387445e+02 ... 3.56937672e+01
 1.76293205e+01 2.03385910e+01]"
xa.s12.00.mhz.1970-03-25HR00_evid00003,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[2.51532128e-12 1.74092898e+03 2.55459266e+03 ... 3.89084251e+00
 1.34377217e+01 5.25982656e+00]"
xa.s12.00.mhz.1970-03-26HR00_evid00004,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[4.43378667e-12 1.70342354e+03 1.13550533e+03 ... 2.03094299e+01
 2.92984330e+01 2.21828695e+01]"
xa.s12.00.mhz.1970-04-25HR00_evid00006,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[5.01643171e-12 7.73895960e+02 6.19030515e+02 ... 2.62838252e+01
 4.06733452e+01 5.33504761e+01]"
xa.s12.00.mhz.1970-04-26HR00_evid00007,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[1.81898940e-12 3.76066823e+02 5.65864450e+02 ... 1.62003540e+01
 3.27790606e+01 2.73026823e+00]"
xa.s12.00.mhz.1970-06-15HR00_evid00008,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[2.00373051e-12 8.23284834e+02 9.93637103e+02 ... 3.82133703e+01
 3.35628688e+01 4.06376934e+01]"
xa.s12.00.mhz.1970-06-26HR00_evid00009,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[1.79056769e-12 1.07193512e+02 2.16469503e+02 ... 2.22673671e+01
 2.64614255e+01 2.72277812e+01]"
xa.s12.00.mhz.1970-07-20HR00_evid00010,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[2.85638180e-12 2.21775102e+02 4.51749499e+02 ... 3.25311016e+01
 1.14971556e+01 1.89381744e+01]"
xa.s12.00.mhz.1970-07-20HR00_evid00011,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[2.85638180e-12 2.21775102e+02 4.51749499e+02 ... 3.25311016e+01
 1.14971556e+01 1.89381744e+01]"
xa.s12.00.mhz.1970-09-26HR00_evid00013,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[1.10844667e-12 7.07960809e+02 5.77923047e+02 ... 4.55861651e+01
 2.92214306e+01 3.08361234e+01]"
xa.s12.00.mhz.1970-10-24HR00_evid00014,"[0.00000000e+00 1.74696901e-04 3.49393802e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[5.68434189e-14 1.56041002e+03 1.83417457e+03 ... 6.26811742e+01
 5.71013729e+01 7.39007684e+01]"
xa.s12.00.mhz.1970-11-12HR00_evid00015,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[1.98951966e-12 1.70418762e+03 1.32067882e+03 ... 1.24037348e+01
 3.34405433e+01 1.74057178e+01]"
xa.s12.00.mhz.1970-12-11HR00_evid00017,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[3.80850906e-12 3.12335259e+03 3.45183945e+03 ... 6.18123921e+01
 3.08849566e+01 7.29885387e+01]"
xa.s12.00.mhz.1970-12-27HR00_evid00019,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[9.54969437e-12 4.25269028e+02 4.42243723e+02 ... 1.48205627e+01
 7.00582038e+00 1.28001356e+01]"
xa.s12.00.mhz.1970-12-31HR00_evid00021,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[8.89599505e-12 7.50796591e+02 7.84315708e+02 ... 2.60089805e+01
 2.93351775e+01 4.05132564e+01]"
xa.s12.00.mhz.1971-01-15HR00_evid00022,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[7.24753590e-13 3.99320063e+03 1.94132389e+03 ... 3.60576969e+01
 2.25980366e+01 1.74918687e+01]"
xa.s12.00.mhz.1971-01-28HR00_evid00023,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[5.71276360e-12 3.98162497e+02 4.63248423e+02 ... 6.21160069e+00
 1.73722772e+01 3.35618561e+00]"
xa.s12.00.mhz.1971-01-29HR00_evid00024,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[2.98427949e-12 3.35572925e+02 5.51415884e+02 ... 8.27664126e+01
 6.83980553e+01 6.82284198e+01]"
xa.s12.00.mhz.1971-02-09HR00_evid00026,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[1.19371180e-12 2.12448576e+03 2.62547722e+03 ... 2.32181080e+01
 4.52390369e+01 5.30122962e+01]"
xa.s12.00.mhz.1971-03-25HR00_evid00028,"[0.00000000e+00 1.74694765e-04 3.49389529e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[5.32196509e-12 5.87182574e+02 1.89566175e+02 ... 3.09599028e+01
 2.42507932e+01 1.84846500e+01]"
xa.s12.00.mhz.1971-04-17HR00_evid00030,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[1.59161573e-12 2.02107248e+03 1.08581608e+03 ... 4.74848159e+01
 4.14068532e+01 3.32492721e+01]"
xa.s12.00.mhz.1971-05-12HR00_evid00031,"[0.00000000e+00 1.74700868e-04 3.49401737e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[2.44426701e-12 4.91758340e+02 8.85791781e+01 ... 1.17481175e+01
 1.56424388e+01 7.94110122e+00]"
xa.s12.00.mhz.1971-05-12HR00_evid00032,"[0.00000000e+00 1.74700868e-04 3.49401737e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[2.44426701e-12 4.91758340e+02 8.85791781e+01 ... 1.17481175e+01
 1.56424388e+01 7.94110122e+00]"
xa.s12.00.mhz.1971-05-13HR00_evid00033,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[1.08002496e-11 9.14539981e+02 5.55887084e+02 ... 1.60089069e+01
 8.08963183e+00 7.46736732e+00]"
xa.s12.00.mhz.1971-05-23HR00_evid00034,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[7.10542736e-13 6.78022474e+02 6.91558434e+02 ... 4.00648128e+01
 4.28467271e+01 4.14813278e+01]"
xa.s12.00.mhz.1971-06-12HR00_evid00035,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[9.02389274e-13 5.68966222e+02 4.87357213e+02 ... 4.06659820e+00
 4.20110358e+00 4.04734296e+00]"
xa.s12.00.mhz.1971-09-25HR00_evid00042,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.86162197e-12 8.82504014e+02 1.14572310e+03 ... 4.37664717e+01
 2.85845341e+01 7.07205077e+01]"
xa.s12.00.mhz.1971-10-18HR00_evid00043,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[8.81072992e-13 5.99594824e+02 7.23457222e+02 ... 1.44408044e+01
 1.31153766e+01 6.21049177e+00]"
xa.s12.00.mhz.1971-10-20HR00_evid00044,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.53477231e-12 3.08693545e+02 5.14066185e+02 ... 1.17450137e+02
 1.20275609e+02 1.19422579e+02]"
xa.s12.00.mhz.1971-10-31HR00_evid00045,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[5.32907052e-13 4.84103205e+02 1.48347510e+02 ... 3.25107839e+01
 3.53741208e+01 2.07689774e+01]"
xa.s12.00.mhz.1971-11-14HR00_evid00046,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[3.29691829e-12 1.28422848e+03 7.17141272e+02 ... 1.77701263e+01
 4.29084351e+01 3.48893010e+01]"
xa.s12.00.mhz.1972-01-04HR00_evid00049,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[4.52615723e-12 1.69809258e+03 3.24483008e+03 ... 1.11578679e+01
 3.05840925e+01 1.50204311e+01]"
xa.s12.00.mhz.1972-03-12HR00_evid00052,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.70530257e-12 1.85566729e+03 7.32754062e+02 ... 4.40594302e+01
 2.93103297e+01 1.52670508e+01]"
xa.s12.00.mhz.1972-05-11HR00_evid00055,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[4.26325641e-13 9.17015755e+02 9.57060395e+02 ... 5.97511338e+01
 5.65079379e+01 4.38262970e+01]"
xa.s12.00.mhz.1972-06-16HR00_evid00060,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[3.11217718e-12 9.84625654e+02 7.28630493e+02 ... 1.24780273e+01
 2.78495875e+01 4.72795166e+01]"
xa.s12.00.mhz.1972-07-17HR00_evid00067,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.64845915e-12 2.57018849e+02 1.89883808e+02 ... 6.90865648e+00
 5.19865996e+00 4.71788742e+00]"
xa.s12.00.mhz.1972-07-17HR00_evid00068,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.64845915e-12 2.57018849e+02 1.89883808e+02 ... 6.90865648e+00
 5.19865996e+00 4.71788742e+00]"
xa.s12.00.mhz.1972-07-28HR00_evid00070,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[2.14583906e-12 6.12598218e+02 2.29938117e+02 ... 1.68479250e+01
 4.03804517e+01 2.49042412e+01]"
xa.s12.00.mhz.1972-07-31HR00_evid00071,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[5.34328137e-12 2.19203438e+02 3.49526902e+02 ... 1.54331099e+01
 3.67584468e+01 2.21194736e+01]"
xa.s12.00.mhz.1972-12-02HR00_evid00083,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.22355459e-11 1.04168451e+03 4.57339350e+02 ... 4.27554936e+01
 2.66393756e+01 2.20012848e+01]"
xa.s12.00.mhz.1972-12-03HR00_evid00084,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[2.27373675e-12 7.88312590e+02 7.53143658e+02 ... 1.38867258e+01
 9.93701012e+00 6.74897408e+00]"
xa.s12.00.mhz.1973-01-18HR00_evid00088,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[6.96331881e-12 1.27866919e+03 1.96449690e+03 ... 6.91572378e+01
 2.67507248e+01 5.69120635e+01]"
xa.s12.00.mhz.1973-01-31HR00_evid00091,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[4.94537744e-12 2.17128766e+03 7.09996733e+02 ... 5.28579283e+01
 3.45532625e+01 3.15100833e+01]"
xa.s12.00.mhz.1973-03-01HR00_evid00093,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[6.53699317e-12 1.52905228e+03 4.79260569e+02 ... 8.78980193e+01
 5.47050705e+01 7.75184083e+01]"
xa.s12.00.mhz.1973-03-13HR00_evid00094,"[0.00000000e+00 2.92074841e-04 5.84149683e-04 ... 4.99991238e+01
 4.99994159e+01 4.99997079e+01]","[7.10542736e-14 2.95663412e+02 3.03228906e+02 ... 1.87153094e+02
 1.88270521e+02 1.92428204e+02]"
xa.s12.00.mhz.1973-03-24HR00_evid00097,"[0.00000000e+00 1.74744829e-04 3.49489658e-04 ... 4.99993884e+01
 4.99995631e+01 4.99997379e+01]","[4.73221462e-12 5.08220937e+02 4.14228300e+02 ... 1.45237997e+01
 3.26356009e+00 2.06473018e+01]"
xa.s12.00.mhz.1973-05-14HR00_evid00104,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[9.52837809e-12 9.47312822e+02 1.37930303e+03 ... 3.89979742e+01
 4.95928983e+01 3.32246379e+01]"
xa.s12.00.mhz.1973-06-05HR00_evid00107,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.48148160e-12 1.11375311e+03 7.76314929e+02 ... 5.25520223e+01
 7.96418477e+01 5.19985141e+01]"
xa.s12.00.mhz.1973-06-05HR00_evid00108,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.48148160e-12 1.11375311e+03 7.76314929e+02 ... 5.25520223e+01
 7.96418477e+01 5.19985141e+01]"
xa.s12.00.mhz.1973-06-18HR00_evid00109,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[2.28794761e-12 4.00462761e+03 6.06773785e+02 ... 4.21540712e+01
 4.50992516e+01 2.36570231e+01]"
xa.s12.00.mhz.1973-06-27HR00_evid00112,"[0.00000000e+00 1.74703310e-04 3.49406620e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[2.00373051e-12 8.42184934e+02 1.94832001e+03 ... 4.89153238e+01
 2.28656412e+00 5.64773374e+01]"
xa.s12.00.mhz.1973-07-03HR00_evid00113,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[4.44799753e-12 9.29134566e+02 7.24885881e+02 ... 2.18365707e+01
 6.14627618e+01 2.05484998e+01]"
xa.s12.00.mhz.1973-07-04HR00_evid00114,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[5.37170308e-12 4.01713937e+02 1.02310348e+03 ... 2.30529084e+01
 3.41598115e+01 3.85030547e+01]"
xa.s12.00.mhz.1973-07-20HR00_evid00117,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[5.14432941e-12 7.12783580e+02 2.02643243e+03 ... 2.47691412e+01
 3.14224055e+01 2.08510667e+01]"
xa.s12.00.mhz.1973-07-28HR00_evid00120,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[1.13686838e-12 2.38338768e+03 1.92649048e+03 ... 1.87354771e+02
 1.81677478e+02 2.07694147e+02]"
xa.s12.00.mhz.1973-07-29HR00_evid00121,"[0.00000000e+00 1.74704531e-04 3.49409062e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[3.60955710e-12 1.95476368e+03 3.68349556e+02 ... 6.29322008e+01
 3.54081575e+01 1.14756892e+02]"
xa.s12.00.mhz.1973-08-21HR00_evid00127,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[4.36273240e-12 1.26738520e+03 6.01457128e+02 ... 1.66529919e+01
 3.90813727e+01 3.28620200e+01]"
xa.s12.00.mhz.1974-01-10HR00_evid00136,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[8.05755462e-12 2.09620878e+03 5.56318231e+02 ... 3.93448196e+01
 4.48436846e+01 2.87617761e+01]"
xa.s12.00.mhz.1974-02-07HR00_evid00137,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[5.96855898e-13 6.25424162e+02 5.64240078e+02 ... 2.96254935e+01
 1.87713332e+01 1.43649531e+01]"
xa.s12.00.mhz.1974-02-12HR00_evid00138,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[4.26325641e-13 2.23986341e+02 1.53663901e+02 ... 9.88248924e+01
 9.80870871e+01 9.54855909e+01]"
xa.s12.00.mhz.1974-03-25HR00_evid00140,"[0.00000000e+00 1.74706057e-04 3.49412114e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[5.34328137e-12 1.60892181e+03 1.21676895e+03 ... 3.45711646e+01
 5.54907375e+01 8.53636395e+01]"
xa.s12.00.mhz.1974-04-08HR00_evid00141,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[3.15480975e-12 1.34632611e+03 6.89884737e+02 ... 4.34872290e+01
 5.58529424e+01 2.80323909e+01]"
xa.s12.00.mhz.1974-04-19HR00_evid00142,"[0.00000000e+00 1.74707278e-04 3.49414556e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[4.03588274e-12 8.26019152e+02 1.33673036e+03 ... 1.28706664e+01
 2.23177200e+01 5.33433554e+00]"
xa.s12.00.mhz.1974-04-26HR00_evid00144,"[0.00000000e+00 1.74707278e-04 3.49414556e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[7.67386155e-12 4.53013795e+02 2.20485634e+02 ... 1.46337821e+01
 1.61719584e+01 8.50883332e+00]"
xa.s12.00.mhz.1974-04-27HR00_evid00145,"[0.00000000e+00 1.74708194e-04 3.49416387e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[3.41060513e-13 1.36520865e+03 1.34436356e+03 ... 2.28693750e+01
 5.39599164e+00 2.10818110e+01]"
xa.s12.00.mhz.1974-06-25HR00_evid00149,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[1.50066626e-11 1.98697256e+03 2.66824863e+03 ... 2.77693185e+01
 3.60097692e+01 3.67530748e+01]"
xa.s12.00.mhz.1974-07-06HR00_evid00150,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[6.25277607e-12 2.37147953e+03 1.91065554e+03 ... 4.23659709e+01
 3.78656341e+01 3.55627290e+01]"
xa.s12.00.mhz.1974-07-06HR00_evid00151,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[6.25277607e-12 2.37147953e+03 1.91065554e+03 ... 4.23659709e+01
 3.78656341e+01 3.55627290e+01]"
xa.s12.00.mhz.1974-07-11HR00_evid00152,"[0.00000000e+00 1.74698427e-04 3.49396854e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[4.64694949e-12 2.12322467e+03 7.67828519e+02 ... 4.52812594e+01
 8.15958331e+00 2.80746992e+01]"
xa.s12.00.mhz.1974-07-17HR00_evid00153,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[3.18323146e-12 3.63228255e+02 4.97519770e+02 ... 1.42740238e+01
 9.02291833e+00 2.19950190e+01]"
xa.s12.00.mhz.1974-10-14HR00_evid00156,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[1.99662509e-12 4.98421471e+02 4.76679198e+02 ... 2.37941577e+01
 8.60268638e+01 6.76719595e+01]"
xa.s12.00.mhz.1975-04-12HR00_evid00191,"[0.00000000e+00 1.74695985e-04 3.49391971e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[1.30739863e-12 8.58774919e+02 8.67835792e+02 ... 3.42441792e+01
 3.89834847e+01 3.94928902e+01]"
xa.s12.00.mhz.1975-05-04HR00_evid00192,"[0.00000000e+00 1.74697511e-04 3.49395023e-04 ... 4.99994759e+01
 4.99996506e+01 4.99998253e+01]","[2.67164069e-12 8.33475836e+02 8.22711771e+02 ... 1.59883187e+01
 1.68369208e+01 1.61699438e+01]"
xa.s12.00.mhz.1975-06-24HR00_evid00196,"[0.00000000e+00 1.74699648e-04 3.49399295e-04 ... 4.99993886e+01
 4.99995633e+01 4.99997380e+01]","[3.18323146e-12 1.38681564e+03 1.01504044e+02 ... 5.01964956e+01
 7.07432150e+01 3.78033924e+01]"
xa.s12.00.mhz.1975-06-26HR00_evid00198,"[0.00000000e+00 1.74700868e-04 3.49401737e-04 ... 4.99993885e+01
 4.99995632e+01 4.99997379e+01]","[3.80850906e-12 2.14663239e+03 4.24343240e+02 ... 2.40296426e+01
 3.46072354e+01 3.76358881e+01]"
